,id,valor,categoria
0,0,219,Fornecedor
1,1,232,Fornecedor
2,2,401,Fornecedor
3,3,129,Cliente
4,4,189,Fornecedor
5,5,128,Fornecedor
6,6,460,Fornecedor
7,7,398,Fornecedor
8,8,112,Fornecedor
9,9,427,Cliente
10,10,189,Cliente
11,11,374,Cliente
12,12,184,Cliente
13,13,241,Fornecedor
14,14,275,Fornecedor
15,15,217,Fornecedor
16,16,367,Cliente
17,17,121,Cliente
18,18,425,Fornecedor
19,19,372,Fornecedor
20,20,210,Fornecedor
21,21,186,Fornecedor
22,22,361,Cliente
23,23,184,Cliente
24,24,154,Cliente
25,25,264,Fornecedor
26,26,461,Fornecedor
27,27,435,Cliente
28,28,382,Cliente
29,29,228,Cliente
30,30,451,Fornecedor
31,31,484,Fornecedor
32,32,305,Fornecedor
33,33,422,Fornecedor
34,34,295,Cliente
35,35,310,Fornecedor
36,36,387,Fornecedor
37,37,179,Cliente
38,38,315,Cliente
39,39,218,Cliente
40,40,245,Cliente
41,41,494,Fornecedor
42,42,311,Fornecedor
43,43,353,Cliente
44,44,306,Fornecedor
45,45,401,Cliente
46,46,142,Cliente
47,47,335,Fornecedor
48,48,460,Fornecedor
49,49,407,Fornecedor
50,50,342,Fornecedor
51,51,176,Fornecedor
52,52,220,Fornecedor
53,53,353,Fornecedor
54,54,353,Cliente
55,55,496,Cliente
56,56,202,Fornecedor
57,57,300,Fornecedor
58,58,237,Fornecedor
59,59,128,Fornecedor
60,60,163,Fornecedor
61,61,205,Fornecedor
62,62,222,Fornecedor
63,63,479,Cliente
64,64,386,Fornecedor
65,65,254,Cliente
66,66,279,Cliente
67,67,394,Fornecedor
68,68,214,Fornecedor
69,69,459,Fornecedor
70,70,420,Fornecedor
71,71,277,Fornecedor
72,72,166,Fornecedor
73,73,290,Fornecedor
74,74,373,Cliente
75,75,367,Cliente
76,76,225,Cliente
77,77,343,Fornecedor
78,78,478,Fornecedor
79,79,187,Fornecedor
80,80,166,Fornecedor
81,81,461,Cliente
82,82,185,Cliente
83,83,231,Cliente
84,84,131,Fornecedor
85,85,174,Fornecedor
86,86,396,Cliente
87,87,342,Cliente
88,88,321,Fornecedor
89,89,325,Cliente
90,90,154,Fornecedor
91,91,497,Fornecedor
92,92,449,Cliente
93,93,217,Cliente
94,94,246,Fornecedor
95,95,129,Cliente
96,96,300,Fornecedor
97,97,313,Fornecedor
98,98,335,Cliente
99,99,132,Fornecedor
100,100,293,Cliente
101,101,406,Fornecedor
102,102,473,Fornecedor
103,103,253,Fornecedor
104,104,363,Cliente
105,105,409,Cliente
106,106,121,Fornecedor
107,107,240,Fornecedor
108,108,118,Cliente
109,109,273,Cliente
110,110,156,Cliente
111,111,384,Fornecedor
112,112,348,Cliente
113,113,133,Fornecedor
114,114,410,Fornecedor
115,115,282,Fornecedor
116,116,398,Fornecedor
117,117,228,Cliente
118,118,237,Cliente
119,119,373,Cliente
120,120,459,Fornecedor
121,121,187,Cliente
122,122,140,Cliente
123,123,131,Cliente
